title,summary,starring,director,genre
Holiday Engagement ,"""Afraid to tell her family she's been dumped, Hillary hires an actor to play her fiancé during a four-day Thanksgiving weekend at her parents' house.""","""Bonnie Somerville, Shelley Long, Jordan Bridges, Sam McMurray""",Jim Fall,"""Comedy, Romance"""
Mingle All the Way,"""Molly starts an app for busy people to find a plus-one without the romance of dating sites. An investor wants Molly to test the app, which forces her to join; the man the app selects has already bumped into Molly twice and not pleasantly.""","""Jen Lilley, Brant Daugherty, Lindsay Wagner, Casey Manderson""",Allan Harmon,"""Drama, Romance"""
Christmas at Graceland: Home for the Holidays,"""Harper is in Memphis before Christmas, visiting her sister and family after 3 years working at museums in Europe. Visiting Graceland with her 2 nieces, Harper meets a single dad of 3 kids and is offered a job as nanny temp.""","""Kaitlin Doubleday, Adrian Grenier, Sunny Mabrey, Alan Wells""",Eric Close,"""Music, Romance"""
Christmas at the Palace,"""A king who is struggling to live up to his father's name hires an ice skating choreographer for a special Christmas Eve performance to celebrate the founding of his nation.""","""Merritt Patterson, Andrew Cooper, Brittany Bristow, Nicholas Banks""",Peter Hewitt,"""Drama, Family, Romance"""
Miss Christmas ,"""Nicknamed 'Miss Christmas,' the official tree finder for Chicago's renowned Radcliffe Tree lighting is left desperate to find the perfect tree. A letter from a young boy promising his tree is perfect sends her to a small town where she learns the young boy's dad isn't willing to part with his tree. While sparks fly, she'll be forced to confront what she's really been missing for Christmas.","""Brooke D'Orsay, Marc Blucas, Luke Roessler, Fiona Vroom""",Mike Rohl,"""Drama, Family, Romance"""
The Wishing Tree ,"""A special Christmas tree decorated with handwritten wishes helps Evan and his group of orphaned students develop a connection and a sense of family.""","""Jason Gedrick, Erica Cerra, Richard Harmon, Amitai Marmorstein""",Terry Ingram,"""Family, Romance"""
Christmas Belle,"""With her California hometown in the rear-view mirror, Belle heads north on business to facilitate the estate sale of a mansion. While the job is a dream, the client, Hunter Lowell, is not. But, as the two spend more time together, his icy demeanor begins to melt. Although their relationship is budding, Belle's long-time suitor, Tony, arrives, sending mixed signals to Hunter while adding chaos to the holiday season.""","""Haylie Duff, Nicholas Gonzalez, Mark Famiglietti, C. Thomas Howell""",Alex Wright,"""Drama, Family, Romance"""
Matchmaker Santa ,"""A young baker discovers the magic of Christmas and love.""","""Lacey Chabert, Florence Henderson, John Ratzenberger, Lin Shaye""",David S. Cass Sr.,"""Comedy, Drama, Romance"""
Hitched for the Holidays,"""An attractive pair agrees to be each other's supposed significant other throughout the holidays to keep their meddling families at bay.""","""Joey Lawrence, Emily Hampshire, Linda Darlow, Marilu Henner""",Michael M. Scott,"""Drama, Romance"""
Christmas in Angel Falls,"""Guardian angel Gabby is sent to Angel Falls to revive the town's forgotten Christmas spirit, and unexpectedly finds love in the process.""","""Rachel Boston, Paul Greene, Beau Bridges, Allison Hossack""",Bradley Walsh,"""Comedy, Drama, Romance"""
