title,summary,starring,director,genre
 Time for Them to Come Home for Christmas ,"""During the holidays, a woman with amnesia catches a ride with her handsome nurse to investigate the only clue to her identity.""",""" Jessy Schram, Brendan Penny, Lochlyn Munro, Brendon Zub""",Peter Benson ,Romance
One December Night ,"""Two music managers must put their history aside to oversee the televised reunion performances of their rock star fathers with a fractured past.""",""" Peter Gallagher, Bruce Campbell, Eloise Mumford, Brett Dalton""",Clare Niederpruem ,"""Family, Music"""
Five More Minutes ,"""Follows the story of Clara, who wishes she had more time with her late grandfather at Christmas. Her holiday wish seems to come true as she comes across his journal and looks back on her time with him.""","""Nikki Deloach, David Haydn-Jones, Sherry Miller, Alexander Jones""",Linda-Lisa Hayter ,Romance
Christmas Tree Lane ,"""Meg wants to save her neighborhood from getting demolished. She then discovers that Nate has other plans. Can she turn Nate's heart toward Christmas?""","""Alicia Witt, Andrew W. Walker, Drake Hogestyn, Briana Price""",Steven R. Monroe ,"""Comedy, Drama, Music"""
Once Upon a Christmas Miracle,"""This holiday romance is based on the incredible story about organ donor Chris Dempsey and recipient Heather Krueger, who were brought into one another's lives by a transplant surgery that led to a miraculous romance.""","""Aimee Teegarden, Brett Dalton, Lolita Davidovich, Cassandra Potenza""",Gary Yates,"""Drama, Romance"""
A Godwink Christmas: Miracle of Love,"""Brought together by community service, Eric and Joy find new purpose at Christmas. As they help a family rebuild their home, coincidences and a medical miracle lead them to believe in destiny.""","""Katherine Barrell, Alberto Frezza, Josh Ssettuba, Faith Wright""",Heather Hawthorn Doyle ,Romance
Time for Me to Come Home for Christmas,"""A Hallmark Movies & Mysteries original movie. When strangers Cara & Heath find themselves stranded before Christmas, they embark on an unexpected journey that may give each of them the miracles they've been hoping for and a chance at love.""","""Josh Henderson, Megan Park, Lindsay Maxwell, Paul McGillion""",David Winning,"""Drama, Music, Romance"""
Christmas in My Heart ,"""Violinist Beth returns home after the recent death of her mother and tutors the daughter of a reclusive country music star to prepare her for the upcoming holiday concert.""","""Heather Hemmens, Luke Macfarlane, Maria Nash, Larry Day""",Pat Kiely ,Romance
The Christmas Promise,"""A woman whose fiancé is killed during the Christmas season gets to know the carpenter she hired to finish their new home so she can sell it. Meanwhile, a text she sent to her fiancé's old number pouring out her grief is answered.""",""" Torrey DeVitto, Dylan Bruce, Patrick Duffy, Giles Panton""",Fred Gerber ,Drama
A Mrs. Miracle Christmas ,"""When a family faces loneliness and loss of faith, Mrs. Miracle swoops in to renew their Christmas Spirit, and they experience a holiday of heavenly proportions.""","""Caroline Rhea, Kaitlin Doubleday, Steve Lund, Paula""",Janet D. Munro,"""Drama, Family, Romance"""
Time for Us to Come Home for Christmas,"""Five guests are mysteriously invited to an inn to celebrate Christmas. With the help of the owner Ben, Sarah discovers that an event from the past may connect them and change their lives forever.""","""Lacey Chabert, Stephen Huszar, Lini Evans, Leon""",David Winning,Romance
A Merry Christmas Match,"""Corey who works in her mom's antique shop, puts on a Christmas pageant in honor of her late father. When a man named Ryder visits her store, she wonders if she should have left town to follow her dream of becoming a theater director.""","""Ashley Newbrough, Kyle Dean Massey, Lindsey Gort, John DeLuca""",Jake Helgren,"""Drama, Romance"""
A Glenbrooke Christmas,"""As Christmas nears, heiress Jessica Morgan seizes what seems like her last chance to experience a relaxed Christmas and heads off to the small town of Glenbrooke, where she meets a handsome fireman.""","""Autumn Reeser, Antonio Cupo, Lisa MacFadden, Beau Daniels""",David I. Strasser ,"""Drama, Romance"""
"""I'll Be Home for Christmas ""","""Jackie Foster (Suvari), is a dynamic Assistant District Attorney and single mom. But when Jackie's estranged dad, Jack (Brolin), a gruff retired police officer, unexpectedly shows up at her door, they will be forced to confront old wounds.""","""James Brolin, Mena Suvari, Giselle Eisenberg, John Reardon""",James Brolin ,"""Drama, Family, Romance"""
A Song for Christmas,"""Country music's latest 'It Girl,' Adelaide Kay, has a hit single and is linked with a hot star. She should be overjoyed, but dislikes pretending she's in love. Even worse, her manager doesn't want her to write her own songs anymore.""","""Becca Tobin, Kevin McGarry, Kendra Leigh Timmins, Paula Boudreau""",Rich Newey,"""Drama, Romance"""
Christmas Under the Stars ,"""A Christmas-tree lot helps two people rediscover their holiday spirit.""","""Jesse Metcalfe, Autumn Reeser, Clarke Peters, Anthony Bolognese""",Allan Harmon,"""Drama, Romance"""
Project Christmas Wish,"""For years Lucy has played Santa in her small-town community. As she grants a little girl's wish for a 'Christmas like it used to be,' she unexpectedly finds her own wishes coming true.""","""Amanda Schull, Travis Van Winkle, Averie Peters, Amy Groening""",Jeff Beesley,"""Drama, Family, Romance"""
Journey Back to Christmas,"""A WWII era nurse is transported in time to 2016 and meets a man who helps her discover the bonds of family and that the true meaning of Christmas is timeless.""","""Candace Cameron Bure, Oliver Hudson, Brooke Nevin, Meghan Heffern""",Mel Damski ,"""Drama, Family, Fantasy"""
The Charm Bracelet ,"""A jewelry designer finds a charm bracelet and teams up with a magazine reporter to locate its rightful owner by Christmas Eve.""","""Ashley Greene, Brendan Penny, Britt Irvin, Barclay Hope""",Rich Newey ,Romance
Angel Falls: A Novel Holiday,"""A book editor must work with a former rival to help a potential writer find her way. He reminds all of them about the Christmas spirit and the value of community.""",""" Jen Lilley, Carlo Marks, Eric Close, Rachael Crawford""",Jonathan Wright ,"""Fantasy, Romance"""
"""A Godwink Christmas: Second Chance, First Love ""","""After 15 years, a single father moves home from Hawaii with his two sons, and through a series of coincidences--or Godwinks--ends up stuck in traffic next to his high school sweetheart.""","""Brooke D'Orsay, Sam Page, Michele Scarabelli, Rhys Slack""",Heather Hawthorn Doyle ,"""Drama, Family, Romance"""
"""Sense, Sensibility & Snowmen""","""Ella Dashwood (Erin Krakow) and her sister Marianne (Kimberley Sustad) are huge Christmas enthusiasts and own a party-planning business. One of their new clients is a toy company and they don't see eye-to-eye with Edward Ferris (Luke Macfarlane), the company's C.E.O.""","""Erin Krakow, Luke Macfarlane, Kimberley Sustad, Jason McKinnon""",David Winning,Romance
Small Town Christmas,"""A high-flying female novelist from New York takes a trip to the small town that inspired her latest best-seller.""","""Ashley Newbrough, Kristoffer Polaha, Preston Vanderslice, Bailey Skodje""",Maclain Nelson,"""Drama, Romance"""
Time for You to Come Home for Christmas,"""A recent widow travels with her son to her Virginia hometown for Christmas. On the way they meet a man who is heading to the same destination. As they continue to spend time together, the pair grows closer.""",""" Alison Sweeney, Lucas Bryant, Kiefer O'Reilly, Britt Irvin""",Terry Ingram,"""Drama, Romance"""
A Godwink Christmas,"""A woman who accepts her boyfriend's marriage proposal is invited to her aunt's home for Christmas and develops romantic feelings for an inn owner.""","""Kimberley Sustad, Paul Campbell, Kathie Lee Gifford, Giles Panton""",Michael Robison  ,"""Drama, Romance"""
Holly & Ivy ,"""A contractor helps a woman renovate a house so she can adopt a sick neighbor's two children.""","""Janel Parrish, Jeremy Jordan, Marisol Nichols, Sadie Coleman""","""Erica Dunton ""","""Drama, Family, Romance"""
Return to Christmas Creek,"""With Christmas approaching, a career-focused Chicago app developer returns to her small hometown to rediscover the meaning of Christmas. There she reunites with her estranged uncle and her childhood best friend, who she begins falling for.""","""Tori Anderson, Stephen Huszar, Steven Weber, Kari Matchett""",Don McBrearty ,"""Drama, Romance"""
Christmas in Montana,"""Before the holidays, Sara goes to Montana to help a man save his ranch.""",""" Kellie Martin, Colin Ferguson, Ava Preston, Art Hindle""",T.W. Peacocke,"""Drama, Romance"""
A Christmas to Remember ,"""A harsh TV personality needs a break from her own life, so she hops into a car and drives to a small town mountain retreat. On her way there, a blizzard veers her off the road and she crashes. When she comes to, she has complete amnesia and a friendly passerby takes her in.""","""Mira Sorvino, Cameron Mathison, Jesse Filkow, Bailey Skodje""",David Weaver,Romance
The Perfect Christmas Present,"""Tom is called Mr. Christmas due to his ability to determine the perfect Christmas gift for someone, befitting their personality.""",""" Sam Page, Tara Holt, Sam Guinan-Nyhart, Emily Peterson""",Blair Hayes ,"""Drama, Romance"""
Unlocking Christmas ,"""When a mysterious key and a holiday riddle arrive on their doorsteps, Kate and Kevin embark on a Christmas romance adventure they'll never forget.""",""" Taylor Cole, Steve Lund, Elena Juatco, Darryl Hinds""",Don McBrearty ,"""Mystery, Romance"""
The Christmas Bow,"""When an accident puts her music dreams on hold, a gifted violinist reconnects with an old family friend who helps her heal and find love during the holidays.""","""Lucia Micarelli, Michael Rady, James Saito, Joy Perry""",Clare Niederpruem ,"""Drama, Music, Romance"""
A Joyous Christmas,"""A young self-help author returns to her hometown during the Christmas holidays to promote her new book. She soon discovers the true meaning of Christmas and family.""","""Natalie Knepp, Michael Rady, Bonnie Bedelia, Steve Bacic""",Allan Harmon ,"""Drama, Family, Romance"""
A Christmas Miracle,"""When her boss steals her idea for their magazine's cover story, Emma searches for a Christmas miracle to write about with the help of her son and the handsome staff photographer.""","""Tamera Mowry-Housley, Brooks Darnell, Kendall Cross, Gabriel Jacob-Cross""",Tibor Takács,Romance
Holiday for Heroes,"""The plot revolves around a woman (Egan) and a soldier (Blucas) who exchange letters for a year before their worlds collide.""","""Melissa Claire Egan, Marc Blucas, Latarsha Rose, Patti Murin""",Clare Niederpruem ,Romance
A Veteran's Christmas ,"""After receiving an honorable discharge, a former Marine suffers a minor car accident which strands her in a small town for the Christmas season.""","""Sean Faris, Eloise Mumford, Mary Long, Amanda Lisman""",Mark Jean,"""Drama, Romance"""
Hope at Christmas,"""Divorced Sydney inherits a house from her grandma. Seeing it with her 8 y.o. daughter, she stops at the bookstore and meets a single teacher there. She ends up helping out there for the Christmas season.""","""Scottie Thompson, Ryan Paevey, Erica Tremblay, Colleen Winton""",Alex Wright,"""Comedy, Drama, Romance"""
Swept Up by Christmas,"""An antique seller and a cleaner clash over how to downsize a magnificent estate right before Christmas. As the two uncover the house's treasures, they find a way to reconnect the reclusive owner with his own Christmases past""","""Lindy Booth, Justin Bruening, Vlasta Vrana, Susan Bain""",Philippe Gagnon ,"""Comedy, Drama, Romance"""
Finding Father Christmas,"""Raised by her mother, but orphaned at a young age at Christmas, Miranda finds a clue that will take her to the truth about her father. Along the way, she finds romance and rekindles her Christmas spirit.""",""" Erin Krakow, Niall Matter, P. Lynn Johnson, Michael Kopsa""",Terry Ingram ,"""Drama, Romance"""
Debbie Macomber's Dashing Through the Snow,"""Stranded at an airport at Christmastime, Ashley Harrison accepts a ride from Dash Sutherland, who has just rented the last car in town. As the pair heads north, their adventures include car trouble, adopting a puppy and being secretly tailed by federal agents, who believe Ashley is up to no good. With a hint of romance gradually filling the air will these two fall in love or will their journey bring about an unexpected road bump to romance?""","""Meghan Ory, Andrew W. Walker, Aaron Craven, Rukiya Bernard""",Kristoffer Tabori ,"""Comedy, Family, Romance"""
The Christmas Note,"""After moving into a new house, a woman befriends her next-door neighbor and helps her track down a mystery sibling she never knew she had.""","""Jamie-Lynn Sigler, Leah Gibson, Lynda Boyd, Dylan Kingwell""",Terry Ingram,"""Drama, Mystery"""
USS Christmas,"""Maddie, a reporter for a Norfolk newspaper, embarks on a Tiger Cruise during Christmastime where she meets a handsome naval officer and stumbles upon a mystery in the ship's archive room""","""Jen Lilley, Trevor Donovan, Barbara Niven, Stefanie Butler""",Steven R. Monroe,Romance
Magic Stocking,"""A young widow's daughter is given a tattered old Christmas stocking at a holiday craft sale, but her mother is skeptical of its magic when it seems to create small trinkets on its own.""","""Bridget Regan, Victor Webster, Iris Quinn, Imogen Tear""",David Winning ,"""Comedy, Drama, Fantasy"""
Hearts of Christmas ,"""When Jenny (Emilie Ullerop) plans a Christmas retirement party for her beloved hospital supervisor, she butts heads with Matt (Kristoffer Polaha), a new manager determined to cut costs.""","""Emilie Ullerup, Kristoffer Polaha, Sharon Lawrence, Yan-Kay Crystal Lowe""",Monika Mitchell,"""Drama, Romance"""
Christmas Bells Are Ringing,"""Samantha (Emilie Ullerup) is a free lance photographer. She is on her way to Cape Cod to celebrate her father's Christmas Eve wedding. She enlists the help of an old childhood friend Mike to meet a deadline for a big Christmas spread that could very well ignite her career. Along the way she falls in love and realizes that Christmas is wherever your family is.""","""Emilie Ullerup, Josh Kelly, Mark Humphrey, Rebecca Staab""",Pat Williams,Romance
A Godwink Christmas: Meant for Love,"""Is it divine intervention/Godwink, coincidences or a meddling mom, when Alice, managing the family clothing store, and Jack, medical sales, keep bumping into each other before Christmas?""","""Cindy Busby, Benjamin Hollingsworth, Kathie Lee Gifford, Hilary Jardine""",Paul Ziller,"""Drama, Romance"""
Cranberry Christmas ,"""A separated couple feign marital bliss on national television to help their town's Christmas festival and their business. But what will the future hold for them when rekindled love is complicated by new opportunities.""","""Nikki Deloach, Benjamin Ayres, Marci T. House, Erin Boyes""",Linda-Lisa Hayter,"""Drama, Romance"""
A Christmas Detour,"""An anxious bride-to-be throws in with a broken-hearted guy and a happily married couple for an emergency ride to NYC, learning about each other and themselves along the way.""","""Candace Cameron Bure, Paul Greene, Sarah Strange, David Lewis""",Ron Oliver ,"""Comedy, Romance"""
A Blue Ridge Mountain Christmas,"""Hotel manager Willow returns to her stunning Virginia hometown to help her sister plan a Christmas wedding at the inn her family once owned. She must work with current owner and single dad David, who wants to let go of the past.""","""Rachael Leigh Cook, Benjamin Ayres, Christie Burke, Chilton Crane""",David Winning,Family
Marrying Father Christmas ,"""When Miranda Chester set off to find information on her biological father two Christmases ago, she never imagined that her investigation would lead her to both the family she had always longed for and Ian McAndrick - the love of her life.""","""Erin Krakow, Niall Matter, Wendie Malick, P. Lynn Johnson""",David Winning,"""Drama, Mystery, Romance"""
The Christmas Doctor,"""A travelling locum doctor finds love and a home at her latest assignment in Willowbrook""","""Holly Robinson Peete, Adrian Holmes, Fred Henderson, Bronwen Smith""",Kevin Fair ,"""Drama, Romance"""
Home for Christmas Day,"""A young woman begins a long-distance relationship with an active-duty soldier.""","""Catherine Bell, Victor Webster, Matreya Fedor, Anthony Konechny""",Gary Harvey,"""Drama, Family, Romance"""
Christmas for Keeps ,"""At Christmas time, a close-knit group of childhood friends returns home after 10 years to take part in the celebration of life of their beloved high school teacher.""","""Christa B. Allen, Meghan Gardiner, Everick Golding, Scott Harlow""",,Romance
Christmas Homecoming,"""A widow of a war hero takes in an injured soldier who has just returned from Afghanistan. Together they help each other heal and find true love.""","""Julie Benz, Michael Shanks, Lauren K. Robek, Toby Levins""",Paul A. Kaufman,"""Drama, Romance"""
A Bramble House Christmas,"""Finn Conrad becomes suspicious as to why his father left a nurse, named Willa $100,000, and goes undercover to investigate. When she discovers his true identity, will it keep her from ever trusting him again?""","""Autumn Reeser, David Haydn-Jones, Liam Hughes, Teryl Rothery""",Steven R. Monroe ,"""Drama, Romance"""
Northern Lights of Christmas,"""Zoey Hathaway (Williams) has been working towards her lifelong goal of being a pilot for years, but everything is thrown off-course when she unexpectedly inherits a reindeer farm, along with the dangerously handsome ranch hand Alec Wynn (Sevier). Now buried in taking care of reindeer and all the Christmas responsibilities, Zoey thinks life has delivered her a strange and cumbersome blow, and she isn't sure about Alec, who has his own ideas how best to run things. Alec, who has never had many people have faith in him, opens up when Zoey invests trust in him, and the two find themselves falling for each other. Could they both find happiness in the most unlikely of circumstances right before Christmas?""","""Ashley Williams, Corey Sevier, Genelle Williams, Laura Miyata""",Jonathan Wright,Romance
Christmas Encore,"""A struggling actress earns the lead part in the production of 'A Christmas Carol', and falls in love with the director. But, the cast and crew need a Christmas miracle to save the show when the theater loses its lease.""","""Maggie Lawson, Brennan Elliott, Art Hindle, Tracey Hoyt""","""Bradley Walsh""","""Drama, Romance"""
Rocky Mountain Christmas ,"""After her breakup with a famous tech entrepreneur makes national headlines, Sarah returns to her uncle's ranch to escape the spotlight where she crosses paths with a Hollywood actor who's looking to prepare for an upcoming role.""","""Kristoffer Polaha, Lindy Booth, Treat Williams, Chris McNally""",Tibor Takács,"""Family, Fantasy, Romance"""
Engaging Father Christmas,"""This Christmas promises to be the best of Miranda Chester's life. She has returned to the beautiful New England town of Carlton Heath, where last year she found love with Ian McAndrick and she is among the family she never knew she had.""","""Erin Krakow, Niall Matter, Wendie Malick, P. Lynn Johnson""",David Winning,"""Drama, Romance"""
Christmas on Honeysuckle Lane ,"""Emma returns home to celebrate Christmas for the last time with her siblings in the house they grew up in. After their parents' recent passing, the siblings reluctantly agree to sell the family home on Honeysuckle Lane.""","""Alicia Witt, Colin Ferguson, Laura Leighton, Jill Larson""",Maggie Greenwald ,"""Drama, Romance"""
Deliver by Christmas,"""Molly meets Josh, a widower who recently moved to town with his young son. At the same time she is charmed by a mysterious client of her bakery whom she's never met in person. In the end, he was the one and the same man.""","""Alvina August, Eion Bailey, Kesler Talbot, Nadeen Lightbody""",Terry Ingram,"""Comedy, Romance"""
Our Christmas Love Song,"""When a country music star is accused of plagiarizing her new Christmas song, she returns to her hometown for the holiday season to try and find proof of authorship.""","""Alicia Witt, Brendan Hines, Andrea del Campo, Anna Anderson-Epp""",Gary Yates,"""Drama, Music, Romance"""
Sound of Christmas,"""Lizzie, a young piano teacher, helps Brad's teenage daughter learn music. As she begins to break through to the girl, sparks begin to fly with Brad, but she is shocked to find out that he may want to buy the school's property.""","""Lindy Booth, Robin Dunne, Micah Kalisch, Kim Roberts""",Harvey Crossland,"""Family, Romance"""
Last Vermont Christmas,"""The Marvin sisters gather for what may be their last Christmas at their childhood home.""","""Erin Cahill, Justin Bruening, Catherine Corcoran, Alan Pontes""",David Jackson,"""Drama, Family, Romance"""
"Love Always, Santa ","""A widow's daughter writes to Santa Claus, asking for her mother to find love again. When a struggling writer receives the letter, he finds new inspiration and the beginnings of a romance.""","""Marguerite Moreau, Mike Faiola, Brady Smith, Isadora Swann""",Brian Herzlinger,"""Comedy, Romance"""
Christmas in the Air,"""Struggling with his work-life balance, a widowed father-of-two enlists the help of a professional organizer for the holiday season.""","""Catherine Bell, Eric Close, Ken Tremblett, Malcolm Stewart""",Martin Wood,Romance
The Christmas Ring,"""Reporter Kendra Adams (Contractor) searches for the love story behind an antique engagement ring with the inscription, 'My Christmas Love 1948.' With the help of Michael (Alpay), the grandson of the ring's owner, they learn the legacy his grandparents left behind as well as the sacrifices they both made for what was most important - love.","""Nazneen Contractor, David Alpay, Kazumi Evans, Chelsey Reist""",Sean McNamara ,"""Drama, Romance"""
A Christmas for the Books,"""During a prestigious holiday gala, which is an interview for her dream job, a lifestyle guru must prove that she is a romance expert.""","""Chelsea Kane, Drew Seeley, Chad Connell, Gary Brennan""",Letia Clouston,"""Drama, Romance"""
A Family Christmas Gift,"""When Amber spends the holidays with her Aunt Dora and helps plan a fund-raising Christmas Concert, it brings Amber closer to her aunt and a new love into her life.""","""Holly Robinson Peete, Dion Johnstone, Patti LaBelle, Kerensa Cooper""",Kevin Fair ,Romance
Sister Swap: A Hometown Holiday,Two sisters and a holiday to remember.,"""Kimberly Williams-Paisley, Mark Deklin, Susan Yeagley, Kevin Nealon""",Sean McNamara ,Romance
Eight Gifts of Hanukkah,"""An anonymous suitor sends optometrist Sara a gift for each night of Hanukkah. On her journey to find her secret admirer, she learns her one true love might be someone she never expected.""","""Inbar Lavi, Jake Epstein, Sheila Tyson, Barry W. Levy""",Mark Jean,"""Drama, Romance"""
Christmas in Tahoe,"""Follows Claire, an aspiring talent booker, as feelings come back between her and her boyfriend after looking for his help to be her big act at her family's hotel and casino, and realize they may need each other more than they remembered.""","""Laura Osnes, Kyle Selig, Pat Monahan, Alex Gullason""",Robert Lieberman ,"""Drama, Romance"""
An Unexpected Christmas,"""Emily works at an ad agency and is sent to her ex's hometown before Christmas. She arrives at the train station as her ex is picked up by his family. They mistakenly think Emily's still an item.""","""Tyler Hynes, Bethany Joy Lenz, Alison Wandzura, Lynda Boyd""",Michael Robison  ,Romance
The Nine Kittens of Christmas ,"""Zachary and Marilee are thrown back together at Christmas when they're tasked with finding homes for a litter of adorable kittens.""","""Brandon Routh, Kimberley Sustad, Gregory Harrison, Stephanie Bennett""",David Winningg,"""Comedy, Family, Fantasy"""
The Christmas Contest,"""Exes Lara and Ben compete in a Christmas contest to win money for the charity of their choosing. The city watches them battle and choose what is more important, victory or love.""","""Candace Cameron Bure, Barbara Niven, John Brotherton, BJ Harrison""",Paula Elle,"""Drama, Romance"""
Christmas at Castle Hart ,"""Brooke Bennett goes to Ireland for Christmas to search for her Irish roots. While there, she meets Aiden Hart. Mistaken for an elite event planner, she's hired to host his castle's epic Christmas party.""","""Lacey Chabert, Stuart Townsend, Ali Hardiman, Kate O'Toole""",Stefan Scaini,Romance
A Royal Queens Christmas,"""A prince finds his way to Queens during Christmas when a local woman enlists his help with a children's Christmas show.""","""Megan Park, Julian Morris, Michael Hanrahan, Nicola Correia-Damude""",Lee Friedlander,"""Drama, Romance"""
"""Next Stop, Christmas"" ","""Angie is determined to spend Christmas alone but her usual commuter ride turns into a Christmas train that drops her off in her home town in 2011.""","""Lyndsy Fonseca, Chandler Massey, Erika Slezak, Eric Freeman""",Dustin Rikert,"""Comedy, Drama, Fantasy"""
A Kiss Before Christmas ,"""Ethan is a married father with two teens. He wakes up one morning and is shocked to find he isn't married, he doesn't have kids, and he's CEO of his company. His wife is the key to be able to reclaim his original life and family.""","""James Denton, Marilu Henner, Rod Wilson, John B. Lowe""",Jeff Beesley,Romance
Sister Swap: Christmas in the City,"""Two sisters and a holiday adventure.""","""Ashley Williams, Kimberly Williams-Paisley, Keith D. Robinson, Jacob Buster""",Sean McNamara ,"""Comedy, Romance"""
The Christmas Train,"""A cynical journalist decides to take a train from Washington, D.C. to Los Angeles for Christmas to get inspiration for a story in honor of his late father. He gets to know the other passengers and runs into an old flame while aboard.""","""Dermot Mulroney, Kimberly Williams-Paisley, Danny Glover, Joan Cusack""",Ron Oliver,"""Drama, Romance"""
A Princess for Christmas,"""At the invitation of an estranged relative, a young woman travels with her niece and nephew to a castle in Europe for Christmas, where she unwittingly falls for a dashing Prince.""","""Katie McGrath, Roger Moore, Sam Heughan, Travis Turner""",Michael Damian,"""Comedy, Drama, Family"""
One Royal Holiday,"""When Anna offers a stranded mother and son shelter in a blizzard, she learns that they are the Royal Family of Galwick. Anna shows the Prince how they do Christmas in her hometown, encouraging him to open his heart and be true to himself.""","""Laura Osnes, Krystal Joy Brown, Tom McGowan, Bradley Rose""",Dustin Rikert,"""Comedy, Drama, Family"""
Chateau Christmas ,"""World famous pianist Margot returns to Chateau Neuhaus for Christmas. While there she reunites with her ex-boyfriend Jackson, who convinces her to headline their annual Christmas Concert.""","""Merritt Patterson, Luke Macfarlane, Jesse Hutch, Julia Benson""",Michael Robison  ,"""Drama, Music, Romance"""
My Christmas Family Tree,"""When Vanessa receives the results from her Family Tree DNA test, she discovers a family she didn't know existed and travels to their home for Christmas.""","""Aimee Teegarden, Andrew W. Walker, James Tupper, Kendall Cross""",Jason Bourque,"""Drama, Romance"""
Crown for Christmas,"""After getting fired from her job as a maid at a ritzy New York City hotel, Allie reluctantly accepts a temporary gig as the governess to a young girl who is part of a powerful family in Europe that lives in a castle.""","""Danica McKellar, Rupert Penry-Jones, Ellie Botterill, Pavel Douglas""",Alex Zamm,"""Comedy, Drama, Family"""
A Christmas Together with You ,"""During the Christmas season, Megan and her father-figure Frank head out on a road trip to find his long-lost love. Will Megan find the love of her life along the way ?""","""Laura Vandervoort, Niall Matter, Harry Lennix, Liza Huget""",Kevin Fair ,"""Drama, Romance"""
The Nine Lives of Christmas ,"""After a stray cat adopts Zachary, he meets Marilee and realizes the single life is not as fulfilling as he thought it was.""","""Brandon Routh, Kimberley Sustad, Stephanie Bennett, Chelsea Hobbs""",Mark Jean,"""Comedy, Drama, Family"""
Christmas CEO,"""A small toy company CEO gets a once in a lifetime offer to merge with a mega toy company but will need her estranged ex-business partner's signature to seal the deal.""","""Marisol Nichols, Paul Greene, Veronica Marin-Estrada, Tedd Dillon""",Jonathan Wright,Romance
Gingerbread Miracle ,"""Maya is a freelance attorney who, after a minor setback, has been living in the apartment above her parents' garage and using the Casillas Panadería as her unofficial office for the past couple of years. The Mexican bakery has held a warm spot in her heart ever since she worked there as a teenager alongside her high school crush, Alejandro (Alex) Casillas, the handsome nephew of the owner. When Alex's uncle asks for Maya's help in selling the bakery, Alex decides to return home to celebrate one last Christmas in the bakery and help Maya find a buyer for the bakery, whether or not she actually wants his help.""","""Merritt Patterson, Jon-Michael Ecker, Jorge Montesi, Elyse Maloway""",Michael M. Scott,"""Drama, Romance"""
Christmas in Evergreen,"""Hoping to spur her longtime beau to action, a small-town veterinarian wishes upon a snow globe that this will be her most romantic Christmas ever.""","""Ashley Williams, Teddy Sears, Holly Robinson Peete, Jaeda Lily Miller""",Alex Zamm,"""Family, Romance"""
A Nashville Christmas Carol ,"""A workaholic television producer receives a visit from her recently deceased mentor, who warns her that her current path leads to a dark future.""","""Wes Brown, Jessy Schram, Kix Brooks, Kimberly Williams-Paisley""",Dawn Wilkinson,"""Drama, Fantasy, Music"""
Crashing Through the Snow,"""Maggie and Sam are crashing Christmas. When he proposes that they team up against his sister's perfect Christmas, neither of them are prepared for the blended family challenges that lie ahead.""","""Amy Acker, Warren Christie, Brooke Nevin, Kristian Bruun""",Rrich Newey,"""Comedy, Drama, Romance"""
"""The Christmas House""","""Working through some difficult decisions, a mother and father summon their two grown sons home for the holidays.""","""Robert Buckley, Ana Ayora, Treat Williams, Sharon Lawrence""",Michael Grossman,"""Drama, Romance"""
The Nativity Story ,"""A drama that focuses on the period in Mary and Joseph's life where they journeyed to Bethlehem for the birth of Jesus.""","""Keisha Castle-Hughes, Shohreh Aghdashloo, Oscar Isaac, Hiam Abbass""",Catherine Hardwicke ,"""Adventure, Drama, Family"""
Making Spirits Bright ,"""Grace and Tony are from two separate families who are in the business of decorating homes for Christmas. Unfortunately they have also been in feud for as long as anyone can remember. But this holiday season they must try to find a way to get everyone to work together in order to win a town competition that could save their livelihoods. ""","""Taylor Cole, Carlo Marks, Sarah Surh, John Cassini""","""David Bercovici-Artieda ""","""Drama, Romance"""
Sugar Plum Twist ,"""After failing to get the coveted role of the Sugar Plum Fairy in this year's production of The Nutcracker, Vivíana Serrano joins forces with Natalia, to create a surprise reprise of the Dance of the Sugar Plum Fairy...with a Latin twist.""","""Jamie Gray Hyder, Laura Rosguer, Jesmille Darbouze, Connor Delves""",Eric Close,Romance
Nantucket Noel ,"""Christina learns of a developer who is planning to tear down the wharf that is home to her toy store. Tensions rise as she falls for the developer's son, Andy.""","""Sarah Power, Trevor Donovan, Payton Lepinski, Daniel Bacon""",Kirsten Hansen,Romance
Coyote Creek Christmas,"""The fate of the Coyote Creek Inn and Paige's relationships are both left to the magic of the holiday season to decide.""","""Ryan Paevey, Janel Parrish, Cameron Bancroft, Naomi King""",David I. Strasser ,"""Drama, Romance"""
Five Star Christmas ,"""When a travel writer shows up unexpectedly at their dad's Bed and Breakfast, the Ralston family all pretend to be guests in hopes of a good review. Lucy (Bethany Joy Lenz) falls for guest Jake (Victor Webster), but can't share her secret.""","""Bethany Joy Lenz, Victor Webster, Robert Wisden, Laura Soltis""",Christie Will Wolf,"""Comedy, Romance"""
Christmas at the Plaza,"""An archival historian is hired to create a Christmas display at the Plaza Hotel and is paired with a handsome Christmas decorator to bring it to life.""","""Elizabeth Henstridge, Ryan Paevey, Bruce Davison, Julia Duffy""",Ron Oliver,"""Drama, Romance"""
Christmas Under Wraps ,"""When an aspiring surgeon is turned down for a fellowship, she takes a temporary position working as a GP in a small Alaskan town in an effort to boost her résumé.""","""Candace Cameron Bure, David O'Donnell, Robert Pine, Kendra Mylnechuk""",Peter Sullican,"""Comedy, Drama, Romance"""
